SHAP Rank,Source Feature,Business-Friendly Label,Bin,Bin Lower Bound,Bin Upper Bound,Feature Midpoint,Records,Mean Local Effect,Accumulated ALE Before Centering,Centered ALE
1,donor_age,Donor Age,1,16.0,26.0,21.0,301,-0.03093846874594051,-0.03093846874594051,-0.011755669376224038
1,donor_age,Donor Age,2,26.0,31.0,28.5,324,0.0025864809336897366,-0.028351987812250776,-0.009169188442534303
1,donor_age,Donor Age,3,31.0,37.0,34.0,385,-0.0016561361417647721,-0.030008123954015548,-0.010825324584299075
1,donor_age,Donor Age,4,37.0,42.0,39.5,247,0.0028659361083675466,-0.027142187845648,-0.007959388475931528
1,donor_age,Donor Age,5,42.0,49.0,45.5,4551,0.004423211279761744,-0.022718976565886256,-0.0035361771961697833
1,donor_age,Donor Age,6,49.0,58.0,53.5,366,-0.0029207823399929667,-0.025639758905879224,-0.006456959536162751
1,donor_age,Donor Age,7,58.0,69.0,63.5,343,0.0022026490376066935,-0.02343710986827253,-0.004254310498556058
1,donor_age,Donor Age,8,69.0,99.0,84.0,364,0.09370104282587412,0.07026393295760158,0.08944673232731806
4,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),1,0.0,1.0,0.5,5040,0.00038055260026001805,0.00038055260026001805,-0.01140026280539271
4,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),2,1.0,25.0,13.0,439,0.0010723843409770136,0.0014529369412370316,-0.010327878464415697
4,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),3,25.0,50.0,37.5,319,0.001278671354105726,0.0027316082953427576,-0.009049207110309971
4,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),4,50.0,100.0,75.0,310,-0.003056349597341076,-0.00032474130199831863,-0.012105556707651047
4,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),5,100.0,200.0,150.0,407,0.0014490260452267446,0.001124284743228426,-0.010656530662424302
4,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),6,200.0,1250000.0,625100.0,366,0.21002235255374985,0.21114663729697827,0.19936582189132554
5,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),1,0.0,0.2,0.1,5040,0.0001739453165979413,0.0001739453165979413,-0.013609014064655806
5,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),2,0.2,5.0,2.6,439,-0.0013870198031676433,-0.001213074486569702,-0.01499603386782345
5,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),3,5.0,10.0,7.5,309,0.000715370017591334,-0.000497704468978368,-0.014280663850232115
5,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),4,10.0,20.0,15.0,303,0.002506536127618395,0.002008831658640027,-0.01177412772261372
5,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),5,20.0,44.0,32.0,445,-0.002351731156419358,-0.000342899497779331,-0.014125858879033077
5,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),6,44.0,293832.0,146938.0,345,0.2733692872404335,0.2730263877426542,0.25924342836140046
6,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,1,0.0,1.0,0.5,463,-0.007700118548617922,-0.007700118548617922,-0.002601504892609954
6,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,2,1.0,2.0,1.5,442,0.0020962705907062898,-0.005603847957911632,-0.0005052343019036646
6,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,3,2.0,3.0,2.5,324,0.0027853643009912205,-0.002818483656920412,0.002280129999087556
6,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,4,3.0,4.0,3.5,307,-0.0010164962430098004,-0.0038349798999302125,0.0012636337560777552
6,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,5,4.0,6.0,5.0,5345,-0.0012072983690058024,-0.005042278268936015,5.6335387071952854e-05
7,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),1,0.0,1.0,0.5,5040,1.9844925437868666e-05,1.9844925437868666e-05,-0.014276905262610431
7,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),2,1.0,25.0,13.0,439,-0.00043583218082097786,-0.0004159872553831092,-0.014712737443431408
7,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),3,25.0,50.0,37.5,309,0.0018940834073699515,0.0014780961519868423,-0.012818654036061458
7,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),4,50.0,100.0,75.0,303,0.0030961391396345495,0.004574235291621391,-0.009722514896426908
7,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),5,100.0,220.0,160.0,445,-0.004487848638043688,8.638665357770317e-05,-0.014210363534470596
7,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),6,220.0,1469160.0,734690.0,345,0.2798480219252611,0.2799344085788388,0.26563765839079045
8,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),1,0.0,0.2,0.1,5040,0.002061923149450053,0.002061923149450053,-0.0010042721425713242
8,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),2,0.2,0.4,0.30000000000000004,1450,0.0022881754003002083,0.004350098549750261,0.0012839032577288841
8,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),3,0.4,1.0,0.7,391,0.006899912278978512,0.011250010828728774,0.008183815536707398
