Evidence ID,Finding Type,Finding,Primary Evidence,Supporting Evidence,Direction or Pattern,Stability Evidence,Limitation,Evidence Classification,Recommended Interpretation
E001,Source Feature,Gender Identity,Random Forest rank 6; permutation rank 1; SHAP rank 2,Mean PR AUC decrease 0.0034; positive in 96.67% of repeats; bootstrap top four 100.00%,Male: Generally Increases Score; Female: Generally Decreases Score; Unknown: Generally Decreases Score,Highly Stable; bootstrap rank range 2 to 2,Demographic pattern requires fairness review,Stable,Use as a consistently supported model signal
E002,Source Feature,Preferred Address Type,Random Forest rank 7; permutation rank 4; SHAP rank 3,Mean PR AUC decrease 0.0008; positive in 70.00% of repeats; bootstrap top four 100.00%,Other Address Type: Generally Increases Score; Business Address: Generally Increases Score; Home Address: Generally Increases Score; Missing: Generally Decreases Score; Campus Address: Generally Decreases Score,Highly Stable; bootstrap rank range 3 to 3,Permutation range crosses zero; Address type may reflect access or data completeness,Moderately Supported,Use with supporting context and avoid isolated conclusions
E003,Source Feature,Years Since Most Recent Donation,Random Forest rank 5; permutation rank 2; SHAP rank 6,Mean PR AUC decrease 0.0027; positive in 100.00% of repeats; bootstrap top four 1.20%,Weak or Near Neutral Pattern,Moderately Stable; bootstrap rank range 5 to 7,Strong correlation can redistribute importance,Moderately Supported,Use with supporting context and avoid isolated conclusions
E004,Source Feature,Average Donation Amount (Past 5 Years),Random Forest rank 3; permutation rank 6; SHAP rank 5,Mean PR AUC decrease 0.0002; positive in 56.67% of repeats; bootstrap top four 0.00%,Weak or Near Neutral Pattern,Moderately Stable; bootstrap rank range 5 to 6,Permutation range crosses zero; Strong correlation can redistribute importance,Method Dependent,Interpret across methods and related features rather than alone
E005,Source Feature,Donation Frequency Rate (Past 5 Years),Random Forest rank 8; permutation rank 3; SHAP rank 8,Mean PR AUC decrease 0.0015; positive in 90.00% of repeats; bootstrap top four 0.00%,Lower Values Generally Increase Score,Highly Stable; bootstrap rank range 8 to 8,Permutation range crosses zero; Strong correlation can redistribute importance,Method Dependent,Interpret across methods and related features rather than alone
E006,Source Feature,Donor Age,Random Forest rank 1; permutation rank 7; SHAP rank 1,Mean PR AUC decrease -0.0012; positive in 33.33% of repeats; bootstrap top four 100.00%,Higher Values Generally Increase Score,Highly Stable; bootstrap rank range 1 to 1,Permutation range crosses zero; Demographic pattern is descriptive only,Method Dependent,Interpret across methods and related features rather than alone
E007,Source Feature,Maximum Annual Donation Amount (Past 5 Years),Random Forest rank 4; permutation rank 8; SHAP rank 4,Mean PR AUC decrease -0.0012; positive in 30.00% of repeats; bootstrap top four 98.80%,Lower Values Generally Increase Score,Highly Stable; bootstrap rank range 4 to 4,Permutation range crosses zero; Strong correlation can redistribute importance,Method Dependent,Interpret across methods and related features rather than alone
E008,Source Feature,Total Donation Amount (Past 5 Years),Random Forest rank 2; permutation rank 5; SHAP rank 7,Mean PR AUC decrease 0.0004; positive in 60.00% of repeats; bootstrap top four 0.00%,Mixed or Nonlinear Pattern,Highly Stable; bootstrap rank range 6 to 7,Permutation range crosses zero; Strong correlation can redistribute importance,Method Dependent,Interpret across methods and related features rather than alone
E009,Feature Group,All Historical Donation Measures,Grouped PR AUC decrease 0.0148; positive in 100.00% of repeats,Individual decrease sum 0.0035; redistribution gap 0.0113,Collective predictive contribution,Possible Shared Information Across Features,Grouped permutation is descriptive and does not identify independent effects,Stable,Use as a consistently supported model signal
E010,Feature Group,Donation Amount Measures,Grouped PR AUC decrease 0.0123; positive in 100.00% of repeats,Individual decrease sum -0.0006; redistribution gap 0.0130,Collective predictive contribution,Possible Shared Information Across Features,Grouped permutation is descriptive and does not identify independent effects,Moderately Supported,Use with supporting context and avoid isolated conclusions
E011,Feature Group,Donation Timing and Frequency,Grouped PR AUC decrease 0.0045; positive in 96.67% of repeats,Individual decrease sum 0.0041; redistribution gap 0.0003,Collective predictive contribution,Possible Shared Information Across Features,Grouped permutation is descriptive and does not identify independent effects,Moderately Supported,Use with supporting context and avoid isolated conclusions
E012,Interaction,Donor Age × Gender Identity,Interaction rank 1; mean absolute SHAP interaction 0.001008,Top five in 100.00% of bootstrap samples; mean bootstrap rank 1.00,Negative on Average,Strongest Supported Candidate,"Candidate analysis using 2,000 records; small heatmap cells were hidden",Moderately Supported,Use with supporting context and avoid isolated conclusions
E013,Interaction,Donor Age × Preferred Address Type,Interaction rank 2; mean absolute SHAP interaction 0.000835,Top five in 100.00% of bootstrap samples; mean bootstrap rank 2.20,Negative on Average,Strongest Supported Candidate,"Candidate analysis using 2,000 records; small heatmap cells were hidden",Moderately Supported,Use with supporting context and avoid isolated conclusions
E014,Interaction,Total Donation Amount (Past 5 Years) × Maximum Annual Donation Amount (Past 5 Years),Interaction rank 3; mean absolute SHAP interaction 0.000788,Top five in 100.00% of bootstrap samples; mean bootstrap rank 2.81,Negative on Average,Strongest Supported Candidate,"Candidate analysis using 2,000 records; small heatmap cells were hidden",Moderately Supported,Use with supporting context and avoid isolated conclusions
E015,Interaction,Average Donation Amount (Past 5 Years) × Maximum Annual Donation Amount (Past 5 Years),Interaction rank 4; mean absolute SHAP interaction 0.000710,Top five in 100.00% of bootstrap samples; mean bootstrap rank 3.99,Negative on Average,Moderate Candidate,"Candidate analysis using 2,000 records; small heatmap cells were hidden",Unstable,Keep exploratory and do not use as a primary conclusion
E016,Interaction,Total Donation Amount (Past 5 Years) × Average Donation Amount (Past 5 Years),Interaction rank 5; mean absolute SHAP interaction 0.000589,Top five in 97.60% of bootstrap samples; mean bootstrap rank 5.02,Negative on Average,Moderate Candidate,"Candidate analysis using 2,000 records; small heatmap cells were hidden",Unstable,Keep exploratory and do not use as a primary conclusion
