Group,Repeat,Feature Count,Source Features,Permuted PR AUC,PR AUC Decrease
Donation Amount Measures,1,3,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation",0.05855887464511456,0.011832672182320557
Donation Amount Measures,2,3,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation",0.05622838444098063,0.014163162386454486
Donation Amount Measures,3,3,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation",0.05484204298792923,0.015549503839505888
Donation Amount Measures,4,3,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation",0.0645918431104095,0.005799703717025623
Donation Amount Measures,5,3,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation",0.057853339919421806,0.012538206908013314
Donation Amount Measures,6,3,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation",0.059879007039253945,0.010512539788181174
Donation Amount Measures,7,3,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation",0.06216690005869514,0.008224646768739977
Donation Amount Measures,8,3,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation",0.05713414221217684,0.013257404615258282
Donation Amount Measures,9,3,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation",0.057186886704003334,0.013204660123431786
Donation Amount Measures,10,3,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation",0.05573003631387148,0.014661510513563639
Donation Amount Measures,11,3,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation",0.05806806400709508,0.012323482820340043
Donation Amount Measures,12,3,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation",0.05814714433117228,0.012244402496262838
Donation Amount Measures,13,3,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation",0.055986217138354576,0.014405329689080544
Donation Amount Measures,14,3,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation",0.058949600006441887,0.011441946820993233
Donation Amount Measures,15,3,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation",0.055796122511476864,0.014595424315958255
Donation Amount Measures,16,3,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation",0.06243623671090851,0.007955310116526608
Donation Amount Measures,17,3,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation",0.057332119449537734,0.013059427377897385
Donation Amount Measures,18,3,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation",0.059961874725706,0.010429672101729119
Donation Amount Measures,19,3,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation",0.05412761673204046,0.01626393009539466
Donation Amount Measures,20,3,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation",0.06064555961567697,0.00974598721175815
Donation Amount Measures,21,3,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation",0.05836915145316794,0.012022395374267178
Donation Amount Measures,22,3,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation",0.058263593188125413,0.012127953639309706
Donation Amount Measures,23,3,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation",0.05457921335371374,0.01581233347372138
Donation Amount Measures,24,3,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation",0.059995974469510674,0.010395572357924446
Donation Amount Measures,25,3,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation",0.06258952283479785,0.007802023992637269
Donation Amount Measures,26,3,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation",0.0568337842938476,0.013557762533587522
Donation Amount Measures,27,3,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation",0.055823423834538755,0.014568122992896365
Donation Amount Measures,28,3,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation",0.05694223747637296,0.013449309351062158
Donation Amount Measures,29,3,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation",0.05682934535701042,0.013562201470424702
Donation Amount Measures,30,3,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation",0.0564864755314218,0.013905071296013323
Donation Timing and Frequency,1,2,"feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.06513349592240955,0.005258050905025569
Donation Timing and Frequency,2,2,"feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.0645494288435233,0.005842117983911821
Donation Timing and Frequency,3,2,"feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.06619988821567041,0.004191658611764709
Donation Timing and Frequency,4,2,"feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.06596640759034256,0.004425139237092562
Donation Timing and Frequency,5,2,"feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.06452287535051858,0.00586867147691654
Donation Timing and Frequency,6,2,"feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.0680505794372823,0.002340967390152826
Donation Timing and Frequency,7,2,"feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.06807575845740817,0.0023157883700269527
Donation Timing and Frequency,8,2,"feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.06794631931095768,0.0024452275164774384
Donation Timing and Frequency,9,2,"feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.06448242178912966,0.005909125038305457
Donation Timing and Frequency,10,2,"feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.06376090809360217,0.006630638733832947
Donation Timing and Frequency,11,2,"feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.0648758503514951,0.005515696475940024
Donation Timing and Frequency,12,2,"feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.06592386578917722,0.004467681038257898
Donation Timing and Frequency,13,2,"feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.06794202566840965,0.0024495211590254695
Donation Timing and Frequency,14,2,"feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.06305913162946887,0.007332415197966249
Donation Timing and Frequency,15,2,"feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.06473294742717489,0.005658599400260228
Donation Timing and Frequency,16,2,"feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.0648633635571906,0.005528183270244513
Donation Timing and Frequency,17,2,"feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.06709925004392284,0.003292296783512283
Donation Timing and Frequency,18,2,"feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.070956585574039,-0.0005650387466038798
Donation Timing and Frequency,19,2,"feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.06532482765090725,0.005066719176527873
Donation Timing and Frequency,20,2,"feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.06276236914978708,0.007629177677648036
Donation Timing and Frequency,21,2,"feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.0642786065713375,0.0061129402560976265
Donation Timing and Frequency,22,2,"feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.06667794072285206,0.0037136061045830587
Donation Timing and Frequency,23,2,"feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.06584399915125944,0.004547547676175684
Donation Timing and Frequency,24,2,"feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.06730768058162045,0.003083866245814665
Donation Timing and Frequency,25,2,"feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.0650462204835335,0.005345326343901613
Donation Timing and Frequency,26,2,"feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.0676841966505487,0.0027073501768864194
Donation Timing and Frequency,27,2,"feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.06676504821888946,0.003626498608545664
Donation Timing and Frequency,28,2,"feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.06557634628022778,0.004815200547207341
Donation Timing and Frequency,29,2,"feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.06608597883872895,0.004305567988706169
Donation Timing and Frequency,30,2,"feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.06606278800521005,0.004328758822225068
All Historical Donation Measures,1,5,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation, feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.05649491732567783,0.013896629501757289
All Historical Donation Measures,2,5,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation, feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.050549980225128174,0.019841566602306945
All Historical Donation Measures,3,5,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation, feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.05615610788364658,0.014235438943788536
All Historical Donation Measures,4,5,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation, feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.0558430677155058,0.014548479111929323
All Historical Donation Measures,5,5,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation, feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.05474480344490203,0.015646743382533093
All Historical Donation Measures,6,5,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation, feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.056786199457349015,0.013605347370086104
All Historical Donation Measures,7,5,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation, feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.06039284909228655,0.009998697735148568
All Historical Donation Measures,8,5,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation, feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.05375522178467324,0.016636325042761878
All Historical Donation Measures,9,5,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation, feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.056215133987339655,0.014176412840095465
All Historical Donation Measures,10,5,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation, feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.06073073401540395,0.00966081281203117
All Historical Donation Measures,11,5,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation, feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.05465626970483531,0.01573527712259981
