Source Position,Source Feature,Business-Friendly Label,Repeat Number,Baseline PR AUC,Permuted PR AUC,PR AUC Decrease
1,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),1,0.07039154682743512,0.06865030477745451,0.001741242049980607
1,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),2,0.07039154682743512,0.07208681307039774,-0.001695266242962623
1,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),3,0.07039154682743512,0.07216388987827363,-0.0017723430508385096
1,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),4,0.07039154682743512,0.06902072170173179,0.0013708251257033288
1,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),5,0.07039154682743512,0.0697375787729215,0.0006539680545136206
1,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),6,0.07039154682743512,0.06935666924997277,0.0010348775774623453
1,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),7,0.07039154682743512,0.07238634042749492,-0.001994793600059802
1,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),8,0.07039154682743512,0.07476133414268128,-0.0043697873152461625
1,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),9,0.07039154682743512,0.07017941528080317,0.00021213154663195233
1,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),10,0.07039154682743512,0.07040718922815284,-1.5642400717719163e-05
1,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),11,0.07039154682743512,0.0736304711279924,-0.0032389243005572776
1,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),12,0.07039154682743512,0.06617169155633881,0.004219855271096307
1,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),13,0.07039154682743512,0.07287210301520596,-0.0024805561877708354
1,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),14,0.07039154682743512,0.06681627221734061,0.003575274610094506
1,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),15,0.07039154682743512,0.07050087305789371,-0.00010932623045858958
