SHAP Rank,Source Feature,Business-Friendly Label,Bin,Bin Lower Bound,Bin Upper Bound,Observed Minimum,Observed Maximum,Mean Feature Value,Records,Record Percentage,Mean SHAP,Median SHAP,Mean Absolute SHAP,Mean Model Score,Range Direction,Range Importance Rank
1,donor_age,Donor Age,8,69.0,99.0,69.0,99.0,78.11538461538461,364,5.289928789420142,0.011859580056106095,0.006751712516463157,0.013549447964616494,0.06584839382060723,Generally Increases Score,1
1,donor_age,Donor Age,1,16.0,26.0,16.0,25.0,22.568106312292358,301,4.374364191251272,0.0023891181325902486,-0.0018922861996116256,0.008443681510116511,0.052960891473371005,Generally Increases Score,2
1,donor_age,Donor Age,7,58.0,69.0,58.0,68.0,62.65597667638484,343,4.984740590030519,0.003212991768930991,0.0009182484692892494,0.005624171007439582,0.059726012235930374,Generally Increases Score,3
4,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),6,200.0,1250000.0,200.0,1250000.0,6245.773224043716,366,5.318994332219154,0.0024934830718942283,-0.003510605542746403,0.010821545484052307,0.0704190572026892,Generally Increases Score,1
4,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),4,50.0,100.0,50.0,98.0,61.13870967741936,310,4.505159133846825,-0.0012391152726047793,-0.0014192573362965723,0.0033471839079723623,0.05056416096598149,Generally Decreases Score,2
4,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),5,100.0,200.0,100.0,198.0,127.08845208845209,407,5.914837959598895,-0.0020504223656362093,-0.002569768007671285,0.002792341123985563,0.049434571923507475,Generally Decreases Score,3
5,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),6,44.0,293832.0,44.0,293832.0,1668.3924637681157,345,5.01380613282953,0.007202976374334695,-0.0001608947115512268,0.010410291186269072,0.07243583925436148,Generally Increases Score,1
5,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),5,20.0,44.0,20.0,43.2,28.20044943820225,445,6.467083272780119,-0.0026222366002281467,-0.003083855822605722,0.0032722088543880212,0.04887967284137001,Generally Decreases Score,2
5,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),4,10.0,20.0,10.0,19.6,12.238283828382837,303,4.403429734050284,-0.0017955662510305908,-0.0019624614225364463,0.00312888697815111,0.05052483410678118,Generally Decreases Score,3
6,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,1,0.0,1.0,0.0,0.0,0.0,463,6.728673157971225,0.0044548537749177,0.00361238227895168,0.005707662675323277,0.06475757253763617,Generally Increases Score,1
6,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,2,1.0,2.0,1.0,1.0,1.0,442,6.423484958581602,-0.0035947670580623713,-0.0032964986815459535,0.004063042832473981,0.051508821007604094,Generally Decreases Score,2
6,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,3,2.0,3.0,2.0,2.0,2.0,324,4.708617933439907,-0.0021727593339266466,-0.0024673968372739795,0.0027258069855536676,0.04946143757633736,Generally Decreases Score,3
7,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),6,220.0,1469160.0,220.0,1469160.0,8341.96231884058,345,5.01380613282953,0.007348738400086053,-0.00024416474483172847,0.010404930879153437,0.07243583925436148,Generally Increases Score,1
7,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),4,50.0,100.0,50.0,98.0,61.19141914191419,303,4.403429734050284,-0.0009037916395065468,-0.0007990027457615315,0.002647709038912124,0.05052483410678118,Generally Decreases Score,2
7,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),5,100.0,220.0,100.0,216.0,141.00224719101124,445,6.467083272780119,-0.001055845114496346,-0.0015475324758023915,0.0022272066893160394,0.04887967284137001,Generally Decreases Score,3
8,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),3,0.4,1.0,0.4,1.0,0.4419437340153453,391,5.682313617206802,-0.0015480960537829656,-0.0013723896295964283,0.0037090782097721035,0.06042543811848982,Generally Decreases Score,1
8,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),2,0.2,0.4,0.2,0.2,0.2,1450,21.072518529283535,9.087334926194145e-05,-0.00011393404328948931,0.0009841185639855947,0.054077882889803475,Generally Increases Score,2
8,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),1,0.0,0.2,0.0,0.0,0.0,5040,73.24516785350966,-8.399000538541579e-05,-5.5937396053897445e-05,0.00018331145794797546,0.05504239219469633,Generally Decreases Score,3
