Interaction Rank,Interaction Key,Interaction Pair,First Source Feature,Second Source Feature,First Feature Group,Second Feature Group,Records,Mean SHAP Interaction,Mean Absolute SHAP Interaction,Sufficient Cell Support
1,donor_age__x__feature_gender_identity,Donor Age × Gender Identity,donor_age,feature_gender_identity,16 to 42,Female,777,-0.0004323415249320547,0.0006008565230481803,True
1,donor_age__x__feature_gender_identity,Donor Age × Gender Identity,donor_age,feature_gender_identity,16 to 42,Male,753,0.00016862866999353292,0.0005216087217194051,True
1,donor_age__x__feature_gender_identity,Donor Age × Gender Identity,donor_age,feature_gender_identity,16 to 42,Unknown,66,-0.0008955248433724518,0.0018931427768889713,True
1,donor_age__x__feature_gender_identity,Donor Age × Gender Identity,donor_age,feature_gender_identity,43 to 98,Female,200,0.0008893650511164565,0.00203931055611094,True
1,donor_age__x__feature_gender_identity,Donor Age × Gender Identity,donor_age,feature_gender_identity,43 to 98,Male,196,-0.0017302972400648773,0.002831949402371351,True
1,donor_age__x__feature_gender_identity,Donor Age × Gender Identity,donor_age,feature_gender_identity,43 to 98,Unknown,8,0.0014056861635354883,0.008479426330672491,False
2,donor_age__x__feature_preferred_address_type,Donor Age × Preferred Address Type,donor_age,feature_preferred_address_type,16 to 42,Business Address,64,-0.001305619222667061,0.001416624440819973,True
2,donor_age__x__feature_preferred_address_type,Donor Age × Preferred Address Type,donor_age,feature_preferred_address_type,16 to 42,Campus Address,38,-0.0006668425189403706,0.0031885545065689857,True
2,donor_age__x__feature_preferred_address_type,Donor Age × Preferred Address Type,donor_age,feature_preferred_address_type,16 to 42,Home Address,1280,7.45277817255538e-05,0.00033216762527428164,True
2,donor_age__x__feature_preferred_address_type,Donor Age × Preferred Address Type,donor_age,feature_preferred_address_type,16 to 42,Missing,208,-0.0009585063072222004,0.0018478227825455956,True
2,donor_age__x__feature_preferred_address_type,Donor Age × Preferred Address Type,donor_age,feature_preferred_address_type,16 to 42,Other Address Type,6,-0.00032615185189939115,0.00038733068656935553,False
2,donor_age__x__feature_preferred_address_type,Donor Age × Preferred Address Type,donor_age,feature_preferred_address_type,43 to 98,Business Address,2,0.010939453769762778,0.016554122594167664,False
2,donor_age__x__feature_preferred_address_type,Donor Age × Preferred Address Type,donor_age,feature_preferred_address_type,43 to 98,Campus Address,2,-0.006143853200601632,0.006596757434612452,False
2,donor_age__x__feature_preferred_address_type,Donor Age × Preferred Address Type,donor_age,feature_preferred_address_type,43 to 98,Home Address,360,-0.0008828335564837705,0.0010243945104357693,True
2,donor_age__x__feature_preferred_address_type,Donor Age × Preferred Address Type,donor_age,feature_preferred_address_type,43 to 98,Missing,38,0.003617001586136161,0.006069835153186813,True
2,donor_age__x__feature_preferred_address_type,Donor Age × Preferred Address Type,donor_age,feature_preferred_address_type,43 to 98,Other Address Type,2,0.0005852137092730973,0.0006590204353738086,False
3,feature_past_5yr_total_donation__x__feature_past_5yr_max_donation,Total Donation Amount (Past 5 Years) × Maximum Annual Donation Amount (Past 5 Years),feature_past_5yr_total_donation,feature_past_5yr_max_donation,$0,$0,1483,-0.00015350919914421622,0.00015350919914421622,True
3,feature_past_5yr_total_donation__x__feature_past_5yr_max_donation,Total Donation Amount (Past 5 Years) × Maximum Annual Donation Amount (Past 5 Years),feature_past_5yr_total_donation,feature_past_5yr_max_donation,$1 to $26,$1 to $25,173,-0.0006730898774721647,0.0006987972990441144,True
3,feature_past_5yr_total_donation__x__feature_past_5yr_max_donation,Total Donation Amount (Past 5 Years) × Maximum Annual Donation Amount (Past 5 Years),feature_past_5yr_total_donation,feature_past_5yr_max_donation,"$121 to $32,069","$101 to $25,000",149,-0.005386909911359172,0.005394155972190464,True
3,feature_past_5yr_total_donation__x__feature_past_5yr_max_donation,Total Donation Amount (Past 5 Years) × Maximum Annual Donation Amount (Past 5 Years),feature_past_5yr_total_donation,feature_past_5yr_max_donation,"$121 to $32,069",$30 to $100,9,-0.0032230221886779473,0.0032230221886779473,False
3,feature_past_5yr_total_donation__x__feature_past_5yr_max_donation,Total Donation Amount (Past 5 Years) × Maximum Annual Donation Amount (Past 5 Years),feature_past_5yr_total_donation,feature_past_5yr_max_donation,$30 to $120,$1 to $25,1,-0.000617977985890471,0.000617977985890471,False
3,feature_past_5yr_total_donation__x__feature_past_5yr_max_donation,Total Donation Amount (Past 5 Years) × Maximum Annual Donation Amount (Past 5 Years),feature_past_5yr_total_donation,feature_past_5yr_max_donation,$30 to $120,"$101 to $25,000",20,-0.0032439763359361114,0.0032439763359361114,True
