Interaction Rank,Interaction Key,First Source Feature,Second Source Feature,Interaction Pair,Mean Absolute SHAP Interaction,Median Absolute SHAP Interaction,95th Percentile Absolute Interaction,Mean Signed SHAP Interaction,Positive Interaction Percentage,Interaction Importance Percentage,Interaction to Main Effect Percentage,Bootstrap Lower Percentile (2.5%),Bootstrap Upper Percentile (97.5%),Mean Bootstrap Rank,Top Five Bootstrap Percentage,Dominant Direction,Evidence Classification,Interpretation Status
1,donor_age__x__feature_gender_identity,donor_age,feature_gender_identity,Donor Age × Gender Identity,0.001007671956935093,0.000438547659327595,0.0043186967825439605,-0.00020903818777539936,43.65,10.61931638624314,29.744062514513846,0.0009373398760651913,0.0010839597365097115,1.0,100.0,Negative on Average,Strongest Supported Candidate,Candidate Only
2,donor_age__x__feature_preferred_address_type,donor_age,feature_preferred_address_type,Donor Age × Preferred Address Type,0.0008353651396041828,0.00026547325531474364,0.00275571038066225,-0.0001922213499397229,61.3,8.803466896584872,27.90857945382104,0.0007652809038141016,0.0009297182333555025,2.2,100.0,Negative on Average,Strongest Supported Candidate,Candidate Only
3,feature_past_5yr_total_donation__x__feature_past_5yr_max_donation,feature_past_5yr_total_donation,feature_past_5yr_max_donation,Total Donation Amount (Past 5 Years) × Maximum Annual Donation Amount (Past 5 Years),0.0007882757613577734,0.0002114436820264127,0.004135094664521592,-0.000782552530458396,0.8,8.307217097641319,24.12837782731657,0.0007220361335988176,0.0008659667010059169,2.808,100.0,Negative on Average,Strongest Supported Candidate,Candidate Only
4,feature_past_5yr_average_donation__x__feature_past_5yr_max_donation,feature_past_5yr_average_donation,feature_past_5yr_max_donation,Average Donation Amount (Past 5 Years) × Maximum Annual Donation Amount (Past 5 Years),0.0007095708958646201,0.00021329377074143056,0.0031138560400223282,-0.0006955385994802403,1.5,7.477788569779308,23.03260689340809,0.0006512663185571114,0.0007692580694069337,3.992,100.0,Negative on Average,Moderate Candidate,Candidate Only
5,feature_past_5yr_total_donation__x__feature_past_5yr_average_donation,feature_past_5yr_total_donation,feature_past_5yr_average_donation,Total Donation Amount (Past 5 Years) × Average Donation Amount (Past 5 Years),0.0005894059103662916,0.00012760203338576116,0.003193670509003449,-0.0005761656979571476,1.7500000000000002,6.211433988039901,20.92513925696243,0.0005386311171018206,0.0006477413807397166,5.024,97.6,Negative on Average,Moderate Candidate,Candidate Only
6,feature_gender_identity__x__feature_preferred_address_type,feature_gender_identity,feature_preferred_address_type,Gender Identity × Preferred Address Type,0.0005177727541633361,0.0002285044935664144,0.0018631848732175301,-3.766453983086399e-05,65.95,5.4565304261921845,28.221179085483207,0.00047601738848575454,0.0005708121206870456,5.976,2.4,Negative on Average,Weak Exploratory Pattern,Candidate Only
7,feature_years_since_last_donation_past_5yr__x__feature_gender_identity,feature_years_since_last_donation_past_5yr,feature_gender_identity,Years Since Most Recent Donation × Gender Identity,0.000361308695849889,0.00010092071369644785,0.0019067668832685276,6.995664056051565e-06,51.0,3.807639309523831,18.79855559291093,0.00033634440429132766,0.0003914973120986659,7.42,0.0,Positive on Average,Weak Exploratory Pattern,Candidate Only
8,feature_years_since_last_donation_past_5yr__x__donor_age,feature_years_since_last_donation_past_5yr,donor_age,Years Since Most Recent Donation × Donor Age,0.0003588874949879324,0.0001738147577835933,0.0015515852494568457,-1.9048373757646426e-05,49.35,3.7821235672122504,11.65019951792506,0.0003302041343508738,0.0003863779782644592,7.58,0.0,Negative on Average,Weak Exploratory Pattern,Candidate Only
9,feature_years_since_last_donation_past_5yr__x__feature_preferred_address_type,feature_years_since_last_donation_past_5yr,feature_preferred_address_type,Years Since Most Recent Donation × Preferred Address Type,0.0002970109737000439,8.880446912736736e-05,0.0009281423134832091,1.9710796301896115e-05,29.599999999999998,3.1300399680667788,19.445354551134503,0.00027172283279287975,0.0003247401699021753,9.05,0.0,Positive on Average,Weak Exploratory Pattern,Candidate Only
10,feature_years_since_last_donation_past_5yr__x__feature_past_5yr_max_donation,feature_years_since_last_donation_past_5yr,feature_past_5yr_max_donation,Years Since Most Recent Donation × Maximum Annual Donation Amount (Past 5 Years),0.0002693343100106791,9.535052906947249e-05,0.001247742067723561,-9.678703657608243e-05,20.349999999999998,2.8383703962281888,10.468295754528462,0.0002453269906090376,0.00029802352675073555,10.38,0.0,Negative on Average,Weak Exploratory Pattern,Candidate Only
11,feature_past_5yr_max_donation__x__feature_preferred_address_type,feature_past_5yr_max_donation,feature_preferred_address_type,Maximum Annual Donation Amount (Past 5 Years) × Preferred Address Type,0.0002583435109848092,9.118875322293045e-05,0.0008789259847285997,-1.313499307215299e-05,72.05,2.7225442373378277,10.393814462496875,0.00023351246407192112,0.0002873699923907184,11.956,0.0,Negative on Average,Weak Exploratory Pattern,Candidate Only
12,feature_past_5yr_average_donation__x__feature_gender_identity,feature_past_5yr_average_donation,feature_gender_identity,Average Donation Amount (Past 5 Years) × Gender Identity,0.000253722769254296,4.169009859205285e-05,0.001353574602084793,-4.390812868263094e-06,47.5,2.6738487089590453,10.441831351035413,0.00023502817825644593,0.00027385233153544937,12.398,0.0,Negative on Average,Weak Exploratory Pattern,Candidate Only
13,feature_past_5yr_average_donation__x__feature_years_since_last_donation_past_5yr,feature_past_5yr_average_donation,feature_years_since_last_donation_past_5yr,Average Donation Amount (Past 5 Years) × Years Since Most Recent Donation,0.00025195289438317923,9.432770816329129e-05,0.0011916185109531875,-8.288814487849003e-06,27.200000000000003,2.655196943281635,11.870089434206903,0.00023089904541695122,0.0002763729196505548,12.964,0.0,Negative on Average,Weak Exploratory Pattern,Candidate Only
14,feature_past_5yr_total_donation__x__feature_gender_identity,feature_past_5yr_total_donation,feature_gender_identity,Total Donation Amount (Past 5 Years) × Gender Identity,0.0002479401238207728,4.5526859926012766e-05,0.0012545663313860132,-6.919512114801088e-06,68.0,2.6129084982233772,9.47728274745062,0.0002295025047779819,0.000267950042591976,13.82,0.0,Negative on Average,Weak Exploratory Pattern,Candidate Only
15,feature_past_5yr_total_donation__x__feature_years_since_last_donation_past_5yr,feature_past_5yr_total_donation,feature_years_since_last_donation_past_5yr,Total Donation Amount (Past 5 Years) × Years Since Most Recent Donation,0.00024643676028451687,0.00010152566044377054,0.0011561730719974862,-7.111984992707452e-05,43.35,2.5970653531153203,10.673479932260499,0.00022811660849244824,0.00026711232167067817,14.334,0.0,Negative on Average,Weak Exploratory Pattern,Candidate Only
16,feature_past_5yr_max_donation__x__feature_gender_identity,feature_past_5yr_max_donation,feature_gender_identity,Maximum Annual Donation Amount (Past 5 Years) × Gender Identity,0.00023970077827883572,0.00010533476310257819,0.0010860682752003045,-5.1870492207971434e-06,47.65,2.5260784375838634,8.322540706730656,0.00022345599186309075,0.0002574623005392612,15.83,0.0,Negative on Average,Weak Exploratory Pattern,Candidate Only
17,feature_past_5yr_donation_frequency_rate__x__feature_years_since_last_donation_past_5yr,feature_past_5yr_donation_frequency_rate,feature_years_since_last_donation_past_5yr,Donation Frequency Rate (Past 5 Years) × Years Since Most Recent Donation,0.0002331285335645548,0.00012565143648496653,0.0007167587631658768,-0.0001553366699514138,8.25,2.456817061886714,18.76733377380216,0.00021551484721189798,0.0002520629221439943,16.688,0.0,Negative on Average,Weak Exploratory Pattern,Candidate Only
18,feature_past_5yr_average_donation__x__feature_preferred_address_type,feature_past_5yr_average_donation,feature_preferred_address_type,Average Donation Amount (Past 5 Years) × Preferred Address Type,0.00021952870858890067,7.204687230651585e-05,0.0007882290847499407,-2.855285420462511e-06,64.4,2.3134957724332805,10.786169723543326,0.00019666848788413725,0.00024582759993215246,18.288,0.0,Negative on Average,Weak Exploratory Pattern,Candidate Only
19,feature_past_5yr_average_donation__x__donor_age,feature_past_5yr_average_donation,donor_age,Average Donation Amount (Past 5 Years) × Donor Age,0.00021144931130649664,9.9650341174454e-05,0.0007151588499754109,-2.6586553619794437e-05,64.14999999999999,2.2283513210455874,5.892591248142163,0.00019710036831802776,0.0002274015299326035,19.384,0.0,Negative on Average,Weak Exploratory Pattern,Candidate Only
20,feature_past_5yr_donation_frequency_rate__x__feature_past_5yr_max_donation,feature_past_5yr_donation_frequency_rate,feature_past_5yr_max_donation,Donation Frequency Rate (Past 5 Years) × Maximum Annual Donation Amount (Past 5 Years),0.00020998630494443505,9.938736893133484e-05,0.0005680437096947528,-0.0001547550038851703,9.9,2.2129334786347767,9.543353603026494,0.00018964744506662728,0.00023025430125969183,20.062,0.0,Negative on Average,Weak Exploratory Pattern,Candidate Only
21,feature_past_5yr_donation_frequency_rate__x__donor_age,feature_past_5yr_donation_frequency_rate,donor_age,Donation Frequency Rate (Past 5 Years) × Donor Age,0.00020108630977119132,3.545257824478767e-05,0.000798415298948905,-8.70574793102579e-06,57.99999999999999,2.119141184495544,7.425611421572399,0.00018148160074564075,0.0002213788756509421,21.284,0.0,Negative on Average,Weak Exploratory Pattern,Candidate Only
22,feature_past_5yr_total_donation__x__feature_preferred_address_type,feature_past_5yr_total_donation,feature_preferred_address_type,Total Donation Amount (Past 5 Years) × Preferred Address Type,0.0001977661881329488,5.387691651667095e-05,0.0007353384973490403,-2.245517585764696e-06,65.60000000000001,2.0841521963881973,8.902118874755836,0.0001755820359455393,0.00022207543255244933,21.928,0.0,Negative on Average,Weak Exploratory Pattern,Candidate Only
23,feature_past_5yr_total_donation__x__donor_age,feature_past_5yr_total_donation,donor_age,Total Donation Amount (Past 5 Years) × Donor Age,0.0001963179680317296,9.753973735636794e-05,0.000684761722094615,-2.363609891361814e-05,62.1,2.0688901784805633,5.200922104909102,0.00018324920941206575,0.00021072730654956957,22.192,0.0,Negative on Average,Weak Exploratory Pattern,Candidate Only
24,feature_past_5yr_donation_frequency_rate__x__feature_gender_identity,feature_past_5yr_donation_frequency_rate,feature_gender_identity,Donation Frequency Rate (Past 5 Years) × Gender Identity,0.0001831873519544543,4.284948224056338e-05,0.0006597316703435207,-6.877667366994584e-06,42.95,1.9305136309233715,11.822459564438565,0.00016317967161626754,0.0002085733794900239,23.906,0.0,Negative on Average,Weak Exploratory Pattern,Candidate Only
25,feature_past_5yr_max_donation__x__donor_age,feature_past_5yr_max_donation,donor_age,Maximum Annual Donation Amount (Past 5 Years) × Donor Age,0.0001789220569806189,8.589439778301005e-05,0.0006449537432150588,-1.73995359509818e-05,66.55,1.8855639660090309,4.43022925187673,0.0001647136397851102,0.00019315273288615862,24.552,0.0,Negative on Average,Weak Exploratory Pattern,Candidate Only
26,feature_past_5yr_total_donation__x__feature_past_5yr_donation_frequency_rate,feature_past_5yr_total_donation,feature_past_5yr_donation_frequency_rate,Total Donation Amount (Past 5 Years) × Donation Frequency Rate (Past 5 Years),0.0001473934220942554,4.9512380858863256e-05,0.0004950990772785956,-7.521495738263792e-05,18.099999999999998,1.5533005277140985,7.611907162410138,0.00012557884015222722,0.00017334176884847708,26.442,0.0,Negative on Average,Weak Exploratory Pattern,Candidate Only
27,feature_past_5yr_average_donation__x__feature_past_5yr_donation_frequency_rate,feature_past_5yr_average_donation,feature_past_5yr_donation_frequency_rate,Average Donation Amount (Past 5 Years) × Donation Frequency Rate (Past 5 Years),0.00014528417227980468,3.91508994495498e-05,0.000543510155350655,-9.591428329449697e-05,13.0,1.5310722708264062,8.30162133185376,0.00012599695716481544,0.00016637484507020235,26.79,0.0,Negative on Average,Weak Exploratory Pattern,Candidate Only
28,feature_past_5yr_donation_frequency_rate__x__feature_preferred_address_type,feature_past_5yr_donation_frequency_rate,feature_preferred_address_type,Donation Frequency Rate (Past 5 Years) × Preferred Address Type,0.0001322962623533832,2.3102119612061233e-05,0.0005722846519679557,3.9069245675987435e-06,28.65,1.3941996271495893,11.455242895125945,0.00011893868529136955,0.00014729909161759235,27.752,0.0,Positive on Average,Weak Exploratory Pattern,Candidate Only
