artifact,relative_path,file_size_bytes,git_ignored,sha256
Primary Final Pipeline,models/final_primary_pipeline.joblib,8726171,True,c7b1c59f6e37d35e7d73281e8c903ed25d5dced7b749eee14426ea2779a79b11
Benchmark Pipeline,models/historical_donor_status_benchmark_pipeline.joblib,10500,True,52d0f816d18c61bd1e1bc5916df2ec8eea8e62bfa819caafd538239f14eaf6a0
Model Configuration,outputs/modeling/final_model_configuration.json,928,False,d3949eca732aec2ac214a6e04e5ab128f0c4eacb6e80ad96b390dbf5cc151a89
Feature Lists,outputs/modeling/final_feature_lists.json,5264,False,cf75e2d433d345f6a74235bfad7463dc062dfd36e7f0639d0af39694f5e59736
CV Comparison,outputs/modeling/model_shortlist_cv_comparison.csv,1221,False,6d3d67905d8096dcedaa4efa7f779b0e3b24c07612adb380384cef7a05fbe528
Hyperparameter Results,outputs/modeling/hyperparameter_cv_results.csv,9606,False,37acb71e236c427348b4d11d80189284778000e6590c4dee545e52c85362abfb
Primary Test Metrics,outputs/modeling/primary_final_test_metrics.csv,354,False,29f6f94fd6629c5b3d8e2b054ba308df147d815a9243f5616cffc923e4586c1b
Primary Outreach Results,outputs/modeling/primary_final_test_outreach_results.csv,604,False,a5fd3dad29aefc64930446dce403638bf1368fef523c606f0c3d4bb574e2b9f8
Benchmark Model Comparison,outputs/modeling/benchmark_model_comparison.csv,1963,False,b13c44c38bf1e74eef21be1374fb658a34be4a9195fd2fceafcf64fc313e2a82
Benchmark Test Metrics,outputs/modeling/benchmark_test_metrics.csv,324,False,d4f9e11977a3b970a578162a77c577f498632a06007f7c556fb0a14cde055756
Environment Versions,outputs/modeling/environment_versions.json,593,False,de93450de2d3bf722428dc1de7a4ec7e6f9ed4ff28f2c3eae4a614ff22b340c5
Modeling Requirements,outputs/modeling/requirements_modeling.txt,183,False,4b5dc2744d15bd49cd5dbde9f0379aa147fa474c524103a602921d81663e4bea
